chr,start,stop,ID,name,comment
1,8421120,8429081,RC01G001040,PAK2,P21 (CDKN1A)-activated kinase
1,8429185,8435011,RC01G001050,PIGX,biosynthesis
1,8435154,8436579,RC01G001060,CEP19,Centrosomal protein
1,8439742,8442826,RC01G001070,ING5,Inhibitor of growth
1,8444171,8468514,RC01G001080,IMPACT,Impact RWD domain protein
1,8474210,8483054,RC01G001090,HRH4,Belongs to the G-protein coupled receptor 1 family
1,8493929,8503301,RC01G001100,LMNB2,Belongs to the intermediate filament family
1,8505105,8507065,RC01G001110,RPL36,Belongs to the eukaryotic ribosomal protein eL36 family
1,8528573,8536668,RC01G001120,FTSJ3,methyltransferase involved in the processing of the 34S pre-rRNA to 18S rRNA and in 40S ribosomal subunit formation
1,8540335,8543250,RC01G001130,LIM2,Lens intrinsic membrane protein 2.2
1,8552918,8553877,RC01G001140,unknown,G protein-coupled receptor 35
1,8558370,8572253,RC01G001150,unknown,Si zfos-943e10.1
1,8574255,8587599,RC01G001160,GIPC3,GIPC PDZ domain containing family
1,8592497,8595630,RC01G001170,TBXA2R,Thromboxane A2
1,8614932,8751370,RC01G001180,ptprs,Protein tyrosine phosphatase
1,9083567,9125334,RC01G001190,KDM4B,Lysine (K)-specific demethylase 4B
1,9133157,9146017,RC01G001200,UHRF1,Ubiquitin-like
1,9149527,9156499,RC01G001210,TIMM44,Essential component of the PAM complex
1,9159920,9183267,RC01G001220,unknown,unknown
1,9187523,9246553,RC01G001230,FBN3,Fibrillin
1,9246646,9248779,RC01G001240,unknown,unknown
1,9265777,9290947,RC01G001250,CERS4,Ceramide synthase
1,9295003,9298531,RC01G001260,CALR,Calreticulin
1,9358073,9402367,RC01G001270,unknown,Immunoglobulin
1,9456420,9456719,RC01G001280,unknown,unknown
1,9503039,9507203,RC01G001290,MR1,Major histocompatibility complex class I-related gene protein-like
1,9568044,9630343,RC01G001300,GIMAP7,AIG1 family
1,9636725,9646985,RC01G001310,unknown,Immunoglobulin
1,9649418,9655401,RC01G001320,unknown,Neoverrucotoxin subunit
1,9662780,9664652,RC01G001330,unknown,Neoverrucotoxin subunit
1,9686113,9692352,RC01G001340,unknown,unknown
1,9785333,9832718,RC01G001350,MR1,Major histocompatibility complex class I-related gene protein-like
1,10000756,10017278,RC01G001360,CHERP,Calcium homeostasis endoplasmic reticulum
1,10023270,10040430,RC01G001370,CHERP,Calcium homeostasis endoplasmic reticulum
1,10046675,10050405,RC01G001380,RAX2,Retinal homeobox
1,10050453,10051774,RC01G001390,unknown,unknown
1,10059905,10066668,RC01G001400,MATK,Megakaryocyte-associated tyrosine kinase
1,10069438,10085688,RC01G001410,ZFR2,Zinc finger RNA binding protein 2
1,10085840,10087674,RC01G001420,unknown,unknown
1,10091700,10096359,RC01G001430,ATCAY,Ataxia
1,10098390,10101019,RC01G001440,NMRK2,Muscle-specific beta 1 integrin binding protein
1,10108457,10111701,RC01G001450,C19orf10,Chromosome 19 open reading frame 10
1,10119954,10126175,RC01G001460,TNFAIP8L1,Tumor necrosis factor alpha-induced protein
1,10130098,10139610,RC01G001470,CERS1,Ceramide synthase 1
1,10143008,10153736,RC01G001480,NCLN,Nicastrin
1,10170015,10175279,RC01G001490,unknown,unknown
1,10177287,10178456,RC01G001500,S1PR4,Belongs to the G-protein coupled receptor 1 family
1,10200936,10231371,RC01G001510,MYO9B,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
1,10232517,10240062,RC01G001520,unknown,Immunoglobulin V-set domain
1,10242922,10248529,RC01G001530,unknown,unknown
1,10251997,10253597,RC01G001540,unknown,CD80-like C2-set immunoglobulin domain
1,10263169,10280151,RC01G001550,MOG,Minor component of the myelin sheath. May be involved in completion and or maintenance of the myelin sheath and in cell- cell communication
1,10286505,10294035,RC01G001560,unknown,unknown
1,10360460,10376124,RC01G001570,unknown,unknown
1,10384630,10387600,RC01G001580,unknown,unknown
1,10392150,10395923,RC01G001590,GGH,Gamma-glutamyl hydrolase-like
1,10397999,10413568,RC01G001600,PODXL2,Podocalyxin-like
1,10415208,10422607,RC01G001610,MCM2,MCM2 minichromosome maintenance deficient 2
1,10423225,10425728,RC01G001620,CCDC51,Coiled-coil domain containing 51
1,10430807,10435353,RC01G001630,unknown,Zgc 101000
1,10435586,10441644,RC01G001640,unknown,deoxyribonuclease
1,10442201,10447750,RC01G001650,unknown,unknown
1,10464727,10470118,RC01G001660,unknown,Belongs to the intermediate filament family
1,10472467,10475047,RC01G001670,BCDIN3D,BCDIN3 domain containing
1,10475297,10476640,RC01G001680,COX14,Cytochrome c oxidase assembly
1,10477830,10498945,RC01G001690,CERS5,Ceramide synthase 5
1,10501269,10505277,RC01G001700,unknown,Immunoglobulin
1,10536962,10540005,RC01G001710,unknown,Immunoglobulin
1,10546832,10550057,RC01G001720,unknown,Immunoglobulin
1,10564189,10595987,RC01G001730,unknown,Immunoglobulin
1,10830847,10836049,RC01G001740,unknown,unknown
1,11083070,11083399,RC01G001750,unknown,Transposase
1,11330084,11359279,RC01G001760,unknown,Immunoglobulin
1,11388143,11389308,RC01G001770,unknown,Immunoglobulin
1,11463091,11463868,RC01G001780,unknown,unknown
1,11473508,11506135,RC01G001790,unknown,unknown
1,11522913,11529211,RC01G001800,unknown,Immunoglobulin
1,11603961,11613930,RC01G001810,unknown,unknown
1,11665389,11669506,RC01G001820,unknown,unknown
1,11698837,11699699,RC01G001830,unknown,unknown
1,11766171,11770080,RC01G001840,unknown,unknown
1,11848865,11853772,RC01G001850,unknown,unknown
1,11873460,11874393,RC01G001860,unknown,Immunoglobulin
1,12175985,12182235,RC01G001870,unknown,unknown
1,12269640,12270011,RC01G001880,HAUS7,HAUS augmin-like complex subunit 7
1,12276241,12277041,RC01G001890,unknown,Ribonuclease H protein
1,12314904,12321509,RC01G001900,unknown,unknown
1,12883163,12889930,RC01G001910,unknown,Immunoglobulin
1,12957602,12959172,RC01G001920,unknown,unknown
1,12972868,12976087,RC01G001930,unknown,unknown
1,13310782,13315979,RC01G001940,unknown,Immunoglobulin
1,13557867,13558125,RC01G001950,unknown,unknown
1,13640552,13641341,RC01G001960,ANG,Belongs to the pancreatic ribonuclease family
1,13733339,13733638,RC01G001970,unknown,unknown
1,13735181,13735561,RC01G001980,unknown,unknown
1,13831477,13892227,RC01G001990,NLRP14,Leucine Rich repeat
1,14057062,14057845,RC01G002000,unknown,unknown
1,14120889,14126971,RC01G002010,unknown,Immunoglobulin
1,14200191,14202292,RC01G002020,unknown,unknown
1,14209032,14213467,RC01G002030,unknown,Immunoglobulin
1,14254478,14258580,RC01G002040,unknown,Immunoglobulin
1,14366926,14373676,RC01G002050,unknown,Immunoglobulin
1,14436071,14437907,RC01G002060,unknown,unknown
1,14526771,14530660,RC01G002070,unknown,Immunoglobulin
1,14621579,14625346,RC01G002080,unknown,unknown
1,14644985,14645638,RC01G002090,unknown,unknown
1,14678067,14679526,RC01G002100,unknown,unknown
1,14705861,14706853,RC01G002110,unknown,L1 transposable element RBD-like domain
1,14729801,14903327,RC01G002120,unknown,Immunoglobulin
1,15210119,15213170,RC01G002130,unknown,Immunoglobulin
1,15240442,15249295,RC01G002140,unknown,Immunoglobulin
1,15360126,15368602,RC01G002150,unknown,Immunoglobulin
1,15447045,15449062,RC01G002160,unknown,Immunoglobulin
1,15479045,15501639,RC01G002170,unknown,Immunoglobulin
1,15514770,15577352,RC01G002180,unknown,Immunoglobulin
1,15625741,15628665,RC01G002190,unknown,Immunoglobulin
1,15700020,15700383,RC01G002200,unknown,signaling receptor binding
1,15712755,15754469,RC01G002210,unknown,unknown
1,15846019,15846568,RC01G002220,unknown,unknown
1,15847548,15853031,RC01G002230,unknown,unknown
1,15947545,15947931,RC01G002240,unknown,unknown
1,15950152,15950806,RC01G002250,unknown,unknown
1,16135063,16166007,RC01G002260,ABO,Globoside alpha-1
1,16188249,16194977,RC01G002270,GPD1,Glycerol-3-phosphate dehydrogenase
1,16197941,16209532,RC01G002280,SMARCD1,SWI SNF related
1,16218765,16382086,RC01G002290,ASIC1,ion channel
1,16403269,16406440,RC01G002300,CELA1,Chymotrypsin-like elastase family
1,16461367,16467573,RC01G002310,unknown,unknown
1,16477340,16520540,RC01G002320,unknown,Immunoglobulin
1,16755768,16757783,RC01G002330,unknown,cellular response to interferon-beta
1,16832322,16832896,RC01G002340,NLRP12,PRY
1,17174962,17249022,RC01G002350,unknown,Immunoglobulin
1,17287572,17296976,RC01G002360,unknown,Immunoglobulin
1,17302559,17308710,RC01G002370,unknown,unknown
1,17333976,17337299,RC01G002380,unknown,Immunoglobulin
1,17340126,17348916,RC01G002390,unknown,Immunoglobulin
1,17349671,17351800,RC01G002400,unknown,unknown
1,17359848,17368104,RC01G002410,unknown,Immunoglobulin
1,17374814,17390191,RC01G002420,unknown,Immunoglobulin
1,17434774,17436631,RC01G002430,unknown,unknown
1,17534862,17543174,RC01G002440,unknown,Immunoglobulin
1,17570557,17574146,RC01G002450,unknown,Immunoglobulin
1,17575402,17581832,RC01G002460,unknown,Immunoglobulin
1,17583253,17593518,RC01G002470,Wfdc18,Four-disulfide core domains
1,17718235,17723611,RC01G002480,WFDC3,Four-disulfide core domains
1,17724576,17726706,RC01G002490,unknown,WAP four-disulfide core domain
1,17742495,17780127,RC01G002500,unknown,Four-disulfide core domains
1,17797723,17811198,RC01G002510,WFDC3,Four-disulfide core domains
1,17816821,17829215,RC01G002520,unknown,unknown
1,17831401,17893907,RC01G002530,unknown,Immunoglobulin
1,17945089,17948800,RC01G002540,unknown,Immunoglobulin
1,17956331,17964688,RC01G002550,unknown,unknown
1,18045901,18055169,RC01G002560,unknown,Immunoglobulin
1,18254351,18262340,RC01G002570,NLRP14,Fish-specific NACHT associated domain
1,18433371,18433796,RC01G002580,unknown,Zinc finger protein
1,18434075,18435542,RC01G002590,THAP6,THAP
1,18613978,18616926,RC01G002600,unknown,SET (Su(var)3-9
1,19254040,19639374,RC01G002610,NLRP14,Leucine Rich repeat
1,19648448,19661154,RC01G002620,STRIP1,Striatin interacting protein 1
1,19683800,19685158,RC01G002630,unknown,unknown
1,19731744,19734780,RC01G002640,unknown,unknown
1,19757631,19764237,RC01G002650,unknown,unknown
1,19777488,19789466,RC01G002660,unknown,Zinc finger protein
1,19799595,19804228,RC01G002670,unknown,Zinc finger protein
1,19825243,19829464,RC01G002680,unknown,Zinc finger protein
1,19851686,19854995,RC01G002690,HKR1,Zinc finger protein
1,19870089,19873222,RC01G002700,unknown,unknown
1,19962243,19962973,RC01G002710,unknown,unknown
1,20017979,20019818,RC01G002720,unknown,unknown
1,20167829,20169640,RC01G002730,unknown,Zinc finger protein
1,20194572,20202765,RC01G002740,unknown,unknown
1,20265602,20274914,RC01G002750,unknown,Immunoglobulin
1,20358702,20363555,RC01G002760,NLRP12,NACHT domain
1,20366235,20368575,RC01G002770,unknown,unknown
1,20381489,20382521,RC01G002780,unknown,unknown
1,20437125,20438430,RC01G002790,ZNF34,nucleic acid-templated transcription
1,20451213,20452549,RC01G002800,unknown,unknown
1,20472145,20484808,RC01G002810,unknown,Zinc finger protein
1,20549813,20566643,RC01G002820,unknown,unknown
1,20574338,20578368,RC01G002830,unknown,unknown
1,20585506,20590715,RC01G002840,GLS2,Glutaminase kidney isoform
1,20592423,20598049,RC01G002850,RDH5,Retinol dehydrogenase 5 (11-cis 9-cis)
1,20599055,20605236,RC01G002860,TBC1D20,TBC1 domain family member
1,20608163,20613791,RC01G002870,RBCK1,RanBP-type and C3HC4-type zinc
1,20615670,20617817,RC01G002880,HTD2,MaoC like domain
1,20619125,20638002,RC01G002890,PXK,PX domain containing serine threonine kinase
1,20655749,20677072,RC01G002900,PDHB,Pyruvate dehydrogenase
1,20680839,20695489,RC01G002910,PDHB,Pyruvate dehydrogenase
1,20701341,20728702,RC01G002920,KCTD6,Potassium channel tetramerisation domain containing
1,20735716,20770302,RC01G002930,STAB1,Stabilin 1
1,20777050,20793319,RC01G002940,NISCH,Nischarin
1,20887404,20888021,RC01G002950,CCER1,Wu fb55g09
1,20907733,20911425,RC01G002960,CENPP,Centromere protein P
1,20921343,20925632,RC01G002970,OGN,Osteoglycin
1,20942952,20946290,RC01G002980,ASPN,Asporin (LRR class 1)
1,20949766,20961964,RC01G002990,ECM2,Extracellular matrix protein 2
1,20964123,20964480,RC01G003000,CENPP,Centromere protein P
1,20967531,20977499,RC01G003010,IPPK,Phosphorylates Ins(1
1,20979128,20979834,RC01G003020,unknown,BTG family
1,20982021,20983067,RC01G003030,ATRIP,ATR interacting protein
1,20989839,20997398,RC01G003040,SHISA5,Shisa family member 4
1,21001491,21004283,RC01G003050,SHISA5,Shisa family member 4
1,21017397,21018510,RC01G003060,SHISA5,Shisa family member 4
1,21020388,21022853,RC01G003070,SHISA5,Shisa family member 4
1,21023779,21030391,RC01G003080,BAP1,BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)
1,21034533,21047591,RC01G003090,RAD54L2,RAD54-like 2 (S. cerevisiae)
1,21053505,21060930,RC01G003100,RASSF1,Ras association (RalGDS AF-6) domain family 1
1,21062544,21063812,RC01G003110,Tusc2,Tumor suppressor candidate
1,21074097,21081989,RC01G003120,unknown,receptor signaling protein tyrosine kinase inhibitor activity
1,21085084,21087848,RC01G003130,ABHD14A,Abhydrolase domain containing 14A
1,21091493,21099223,RC01G003140,HIAT1,Hippocampus abundant transcript
1,21102358,21108312,RC01G003150,SASS6,Spindle assembly 6 homolog (C. elegans)
1,21108695,21109618,RC01G003160,LSM7,LSM7 homolog
1,21113196,21120162,RC01G003170,TMPRSS9,Transmembrane protease serine
1,21122480,21123765,RC01G003180,TIMM13,Translocase of inner mitochondrial membrane 13 homolog (yeast)
1,21126351,21128120,RC01G003190,unknown,Ectodermal-neural cortex 3
1,21148392,21268442,RC01G003200,INSR,insulin receptor
1,21276447,21279654,RC01G003210,USE1,Unconventional SNARE in the ER 1 homolog (S. cerevisiae)
1,21281803,21293625,RC01G003220,unknown,Immunoglobulin V-set domain
1,21302392,21304887,RC01G003230,unknown,Immunoglobulin V-set domain
1,21325914,21327048,RC01G003240,unknown,Immunoglobulin V-set domain
1,21356545,21414711,RC01G003250,ATP6AP2,ATPase
1,21428853,21463005,RC01G003260,BCOR,BCL6 co-repressor
1,21583785,21584225,RC01G003270,MID1IP1,Mid1-interacting protein
1,21584429,21584987,RC01G003280,unknown,unknown
1,21589935,21627253,RC01G003290,SLC26A11,Solute carrier family 26 member 11
1,21633730,21634774,RC01G003300,NPB,Neuropeptide B
1,21636549,21664657,RC01G003310,unknown,Guanine nucleotide binding protein (G protein)
1,21667355,21674219,RC01G003320,PCYT2,Phosphate cytidylyltransferase 2
1,21675923,21678400,RC01G003330,GCG,Glucagon
1,21679843,21691315,RC01G003340,FAP,Dipeptidyl-peptidase 4
1,21736839,21745910,RC01G003350,KRT222,Belongs to the intermediate filament family
1,21871957,21875516,RC01G003360,MRAS,Muscle RAS oncogene homolog
1,21889755,21923432,RC01G003370,PTH2R,Parathyroid hormone 2
1,21932770,22011980,RC01G003380,MGAT5,Mannosyl (alpha-1
1,22018031,22053782,RC01G003390,TMEM163,Transmembrane protein 163-like
1,22062972,22072913,RC01G003400,CCNT2,early viral transcription
1,22176090,22183063,RC01G003410,unknown,unknown
1,22183069,22208922,RC01G003420,R3HDM1,R3H domain containing 1
1,22230991,22240035,RC01G003430,RND3,Belongs to the small GTPase superfamily. Rho family
1,22322644,22327984,RC01G003440,mmadhc,Methylmalonic aciduria (cobalamin deficiency) cblD type
1,22334778,22377890,RC01G003450,ADARB1,Adenosine deaminase
1,22396306,22400857,RC01G003460,RQCD1,RCD1 required for cell differentiation1 homolog (S. pombe)
1,22402106,22407896,RC01G003470,FTCD,Formiminotransferase cyclodeaminase
1,22411091,22432030,RC01G003480,STAT1,Signal transducer and activator of transcription
1,22436650,22458137,RC01G003490,GLS,Glutaminase
1,22463897,22471339,RC01G003500,NAB1,NGFI-A binding protein 1a (EGR1 binding protein 1)
1,22484154,22495924,RC01G003510,MFSD6,major facilitator superfamily
1,22527258,22563033,RC01G003520,ahr-1,Aryl hydrocarbon
1,22569151,22622216,RC01G003530,unknown,Aryl hydrocarbon
1,22674687,22713802,RC01G003540,unknown,unknown
1,22777336,22837145,RC01G003550,CNTNAP5,protein-like
1,23008093,23046335,RC01G003560,SH3BP4,SH3 domain-binding protein
1,23063496,23064074,RC01G003570,ARL4C,Belongs to the small GTPase superfamily. Arf family
1,23099768,23115286,RC01G003580,AOX1,Aldehyde oxidase and xanthine dehydrogenase
1,23119301,23138988,RC01G003590,ASTL,High choriolytic enzyme 1-like
1,23145338,23146516,RC01G003600,ASTL,High choriolytic enzyme 1-like
1,23146580,23150646,RC01G003610,ASTL,High choriolytic enzyme 1-like
1,23150870,23155450,RC01G003620,BZW1,Basic leucine zipper and W2
1,23158153,23158919,RC01G003630,unknown,Si ch211-246m6.4
1,23167815,23224257,RC01G003640,vwde,Von Willebrand factor D and EGF domain-containing protein-like
1,23248934,23249667,RC01G003650,unknown,unknown
1,23283043,23283971,RC01G003660,unknown,Calcium homeostasis modulator
1,23361168,23512612,RC01G003670,LRP1B,lipoprotein receptor-related protein
1,23549285,23551481,RC01G003680,unknown,unknown
1,23619632,23629692,RC01G003690,GTPBP1,GTP-binding protein 1-like
1,23842059,23856043,RC01G003700,mfng,Manic fringe homolog
1,23878326,23896336,RC01G003710,unknown,Belongs to the sulfotransferase 1 family
1,23898340,23900413,RC01G003720,RRP36,Ribosomal RNA processing 36 homolog (S. cerevisiae)
1,23912957,23913943,RC01G003730,unknown,CECR6/TMEM121 family
1,23935122,23938095,RC01G003740,RPP21,Ribonuclease P
1,23939613,23985000,RC01G003750,dally,Cell surface proteoglycan that bears heparan sulfate
1,23988239,24018013,RC01G003760,GPC1,Cell surface proteoglycan that bears heparan sulfate
1,24037225,24039975,RC01G003770,HSH2D,Hematopoietic SH2
1,24043063,24055811,RC01G003780,TPM4,Belongs to the tropomyosin family
1,24067651,24071005,RC01G003790,LPL,The primary function of this lipase is the hydrolysis of triglycerides of circulating chylomicrons and very low density lipoproteins (VLDL). Binding to heparin sulfate proteogylcans at the cell surface is vital to the function. The apolipoprotein
1,24074274,24079213,RC01G003800,unknown,Lipoprotein lipase-like
1,24082079,24103160,RC01G003810,unknown,Disintegrin and metalloproteinase domain-containing protein 10-like
1,24105128,24113924,RC01G003820,SAFB,Scaffold attachment factor
1,24115863,24120806,RC01G003830,unknown,lymphoid tissue lymphoma translocation
1,24122763,24124370,RC01G003840,MRPL54,ribosomal protein L54
1,24125640,24126403,RC01G003850,FAM32A,Family with sequence similarity 32
1,24210959,24212652,RC01G003860,KLF2,Kruppel-like factor
1,24219503,24248176,RC01G003870,EPS15L1,Epidermal growth factor receptor
1,24250822,24262840,RC01G003880,STIL,TAL1 (SCL) interrupting locus
1,24293240,24297805,RC01G003890,SERPINC1,Serine (or cysteine) proteinase inhibitor
1,24303207,24305401,RC01G003900,ZBTB37,Zinc finger and BTB
1,24310862,24311950,RC01G003910,S1PR1,Belongs to the G-protein coupled receptor 1 family
1,24312139,24313124,RC01G003920,unknown,unknown
1,24336187,24351254,RC01G003930,DPH5,DPH5 homolog (S. cerevisiae)
1,24354182,24369088,RC01G003940,SLC30A7,Solute carrier family 30 (zinc transporter)
1,24382073,24389011,RC01G003950,VCAM1,Vascular cell adhesion
1,24396997,24436454,RC01G003960,CDC14A,CDC14 cell division cycle 14 homolog A
1,24444829,24448680,RC01G003970,RTCA,RNA 3'-terminal phosphate cyclase
1,24449878,24462586,RC01G003980,DBT,Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex
1,24469368,24487314,RC01G003990,OSBPL1A,Oxysterol binding protein-like 1A
1,24491592,24502826,RC01G004000,TTC39C,Tetratricopeptide repeat domain 39C
1,24512568,24533102,RC01G004010,LAMA3,Laminin
1,24547518,24562175,RC01G004020,vps4b,Vacuolar protein
1,24566201,24569144,RC01G004030,PLEKHB2,Pleckstrin homology domain containing
1,24575457,24588632,RC01G004040,KIAA1614,Domain of unknown function (DUF4685)
1,24605445,24606260,RC01G004050,IER5,Immediate early response
